Rera Id,Developer,Avg. Price,Nearby Places,Size,Floor Details,Balcony,Project Name,Project Specifications,Launch Date,Amenities,Project Area,Configuration,Water Supply,Possession Starts,Brokerage,Parking,Possession Status,Last Updated,Price,Area,Bathrooms,Configurations,Bedrooms,Added,Project Size,Sizes,Power Backup
Rera Not Applicable,SS GROUP,8 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""14' 0'' X 11' 0''""}; {'room': 'Attached Bathroom with Bedroom 1', 'size': ""9' 0'' X 4' 6''""}; {'room': 'Kids Room', 'size': ""11' 0'' X 11' 0''""}; {'room': 'Common Bathroom', 'size': ""4' 6'' X 7' 0''""}; {'room': 'Guest Room', 'size': ""10' 0'' X 12' 8''""}; {'room': 'Lift Area', 'size': ""5' 6'' X 5' 6''""}; {'room': 'Pooja Room', 'size': ""5' 6'' X 3' 4''""}; {'room': 'Kitchen', 'size': ""10' 7'' X 10' 0''""}; {'room': 'Kitchen & Utility', 'size': ""4' 7'' X 10' 0''""}; {'room': 'Passage', 'size': '-'}; {'room': 'Drawing/Living Room', 'size': ""12' 3'' X 20' 0''""}; {'room': 'Dining Room Balcony', 'size': ""12' 3'' X 4' 0''""}; {'room': 'Passage 1', 'size': ""5' 6'' X 3' 5''""}; {'room': 'Passage 2', 'size': '-'}",,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Tiles, Toilets : Anti Skid Ceramic Tiles","Jul, 2024","Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Gymnasium; Fire Fighting System; Electrification(Transformer, Solar Energy etc); Closed Car Parking; Car Parking; 24X7 Water Supply; Jogging Track; Street Lighting; Gated Community; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Gymnasium; Fire Fighting System; Electrification(Transformer, Solar Energy etc); Children's Play Area; Entrance Lobby; Yoga / Meditation Area; Card Room; Recreation Facilities; Amphitheater; Volleyball Court; Cricket Pitch; Changing Room; Spa; Cricket Pitch; Swimming Pool; Vastu Compliant; Open Gym; Landscaping & Tree Planting",,3 BHK Apartment,,,,,Ready to Move,"Apr 3, 2025",,Doddanekkundi,,,,,1 Building - 20 units,1404 - 1449 sq.ft.,
,,,,,,1,,,,Geyser; Cupboard; Pet allowed; Garden; Car Parking,,,,,No Charge,1 Covered Parking,,"Apr 21, 2025",2.7 Cr,Doddanekkundi,2,,3,15 days ago,,,
,,,,,,2,,,,Geyser; Cupboard; Pet allowed; Garden; Car Parking,,,,,3.4 Lacs,1 Covered Parking,,"Apr 21, 2025",1.48 Cr,Doddanekkundi,2,,3,More than a month ago,,,
,JAIN HEIGHTS,,,,,2,Jain East Parade,,,AC; Geyser; Cupboard; Amphitheater; Cricket Pitch; Gazebo,,,,,2 Lacs,No Parking,,"Apr 21, 2025",2.1 Cr,Doddanekkundi,3,,3,14 days ago,,,
,JAYA GROUP,,,,,1,Jaya Galaxy,,,24X7 Water Supply; Internet / Wi-Fi; Fire Sprinklers,,,Bore and Municipal water,,"85,000",1 Covered and 1 Open Parking,,"Mar 19, 2025",85.0 L,Doddanekkundi,2,,3,More than a month ago,,,Full
PRM/KA/RERA/1251/446/PR/030223/005690,BRIGADE ENTERPRISES LTD,23.8 K/sq.ft,,,,,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrify Tiles, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified tiles in kitchen, Toilets : Anti Skid Ceramic Tiles",,"Swimming Pool; Solid Waste Management And Disposal; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Gymnasium; Fire Fighting System; Electrification(Transformer, Solar Energy etc); 24X7 Water Supply; Community Hall; Street Lighting; Storm Water Drains; Swimming Pool; Solid Waste Management And Disposal; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Gymnasium",1.6 Acres,,,,,,Ready to Move,"Apr 8, 2025",,Kundalahalli,,"1, 2, 2.5, 3.5 BHK Apartments",,,1 Building - 45 units,840 - 2372 sq.ft.,
PRM/KA/RERA/1251/446/PR/251023/006346,SPECTRA CONSTRUCTION PVT LTD,13.49 K/sq.ft,,,{'room': 'Bedroom 1'}; {'room': 'Dressing Room'}; {'room': 'Attached Balcony with Bedroom 1'}; {'room': 'Attached Bathroom with Bedroom 2'}; {'room': 'Bedroom 3'}; {'room': 'Common Bathroom'}; {'room': 'Kitchen & Utility'}; {'room': 'Kitchen'}; {'room': 'Living Room / Hall'}; {'room': 'Dining Area'}; {'room': 'Guest Room'}; {'room': 'Dressing Room'}; {'room': 'Entrance Foyer'}; {'room': 'Duct Area'}; {'room': 'Guest Bathroom'}; {'room': 'Attached Balcony with Living Room'},,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Tiles, Toilets : Ceramic Tiles, Balcony : Ceramic Tiles",,Children's Play Area; Amphitheater; Partial Power Backup; Volleyball Court; Swimming Pool; Landscaping & Tree Planting; Badminton Court; Gymnasium; Kid's Pool; Chess Board; Multipurpose Hall; Children's Play Area; Amphitheater; Partial Power Backup; Volleyball Court; Swimming Pool; Children's Play Area; Amphitheater; Security Cabin; Yoga / Meditation Area; Tennis Court; Children's Play Area; Swimming Pool; Party Hall; Lift(s); Landscaping & Tree Planting; Partial Power Backup; Salon; Steam Room; Sauna Bath; Bar/Chill-out Lounge,2 Acres,3 BHK Apartment,,"Aug, 2028",,,,"Apr 27, 2025",,Kundalahalli,,,,,3 Buildings - 140 units,1740 - 1760 sq.ft.,
PRM/KA/RERA/1251/446/PR/180723/006075,SUMADHURA INFRACON PVT LTD,9.91 K - 10.64 K/sq.ft,,,,,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Wooden flooring, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Tiles, Toilets : Anti Skid Tiles","Jul, 2023","Waiting Lounge; Amphitheater; Cricket Pitch; Changing Room; Reflexology Park; Spa; Swimming Pool; Skating Rink; Landscaping & Tree Planting; Gymnasium; Kid's Pool; Waiting Lounge; Amphitheater; Cricket Pitch; Changing Room; Reflexology Park; Cricket Pitch; Fire Sprinklers; Vastu Compliant; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Partial Power Backup; Salon; Steam Room; Sauna Bath; Bar/Chill-out Lounge; Amphitheater; Cricket Pitch; Tennis Court; Skating Rink; Swimming Pool",4.5 Acres (75% open),,,"Dec, 2026",,,,"Apr 18, 2025",,Kundalahalli,,"2, 3, 4 BHK Apartments",,,2 Buildings - 272 units,1225 - 2580 sq.ft.,
PRM/KA/RERA/1251/446/PR/100823/006141,PRESTIGE PROJECTS PVT LTD,14.7 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""10' 7'' X 11' 0''""}; {'room': 'Kitchen', 'size': ""7' 11'' X 7' 0''""}; {'room': 'Kitchen & Utility', 'size': ""3' 6'' X 7' 0''""}; {'room': 'Drawing/Living Room', 'size': ""10' 0'' X 16' 7''""}; {'room': 'Balcony', 'size': ""7' 10'' X 3' 5''""}; {'room': 'Common Bathroom', 'size': ""8' 1'' X 5' 2''""}",,,,,Amphitheater; Cricket Pitch; Tennis Court; Spa; Skating Rink; Swimming Pool; Landscaping & Tree Planting; Mini Theatre; Fire Fighting System; Gymnasium; Car Parking; Amphitheater; Cricket Pitch; Tennis Court; Spa; Skating Rink; Children's Play Area; Amphitheater; Yoga / Meditation Area; Cricket Pitch; Tennis Court; Children's Play Area; Swimming Pool; Vastu Compliant; Lift(s); Landscaping & Tree Planting,78 Acres,,,"Jun, 2028",,,,"Mar 23, 2025",,Kundalahalli,,"1, 2, 3, 4 BHK Apartment,Villas",,,,658 - 4170 sq.ft.,
PRM/KA/RERA/1251/446/PR/210524/006932,SARANYA PROPERTIES PVT LTD,8.94 K/sq.ft,,,,,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Tiles, Toilets : Anti Skid Ceramic Tiles","Aug, 2024","Children's Play Area; Entrance Lobby; Yoga / Meditation Area; Card Room; Recreation Facilities; Skating Rink; Swimming Pool; Lift(s); Water Conservation, Rain water Harvesting; Table Tennis; 24x7 CCTV Surveillance; Children's Play Area; Entrance Lobby; Yoga / Meditation Area; Card Room; Recreation Facilities; Cricket Pitch; Swimming Pool; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Table Tennis; Amphitheater; Volleyball Court; Cricket Pitch; Changing Room; Spa; Swimming Pool; Fire Sprinklers; Vastu Compliant; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting",1.26 Acres (68% open),,,"Mar, 2027",,,,"Apr 26, 2025",,Kundalahalli,,"2, 2.5, 3 BHK Apartments",,,2 Buildings - 129 units,1340 - 1855 sq.ft.,
PRM/KA/RERA/1251/446/PR/051024/007134,UNITED INFRASTRUCTURES,9.5 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""13' 4'' X 12' 0''""}; {'room': 'Attached Bathroom with Bedroom 1', 'size': ""8' 0'' X 8' 11''""}; {'room': 'Kitchen', 'size': ""10' 0'' X 7' 10''""}; {'room': 'Kitchen & Utility', 'size': ""10' 0'' X 3' 8''""}; {'room': 'Dining Room Balcony', 'size': ""7' 0'' X 4' 11''""}; {'room': 'Dining Area', 'size': ""7' 0'' X 12' 4''""}; {'room': 'Bedroom 2', 'size': ""11' 0'' X 12' 0''""}; {'room': 'Living Room / Hall', 'size': ""15' 0'' X 12' 0''""}; {'room': 'Common Bathroom', 'size': ""7' 9'' X 4' 11''""}; {'room': 'Passage', 'size': '-'}",,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Double Charge Vitrified Tiles, Other Bedroom : Double Charge Vitrified Tiles, Kitchen : Double Charge Vitrified Tiles, Toilets : Ceramic Tiles, Balcony : Rustic Tiles","Oct, 2024","Partial Power Backup; Salon; Steam Room; Sauna Bath; Bar/Chill-out Lounge; Spa; Vastu Compliant; Party Hall; Lift(s); Badminton Court; Creche/Day Care; Partial Power Backup; Salon; Steam Room; Sauna Bath; Bar/Chill-out Lounge; Cricket Pitch; Fire Sprinklers; Vastu Compliant; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Amphitheater; Cricket Pitch; Tennis Court; Skating Rink; Swimming Pool; Children's Play Area; Swimming Pool; Party Hall; Lift(s); Landscaping & Tree Planting",5.3 Acres,,,"Mar, 2027",,,,"Apr 26, 2025",,Whitefield,,"2, 2.5, 3, 4 BHK Apartments",,,2 Buildings - 217 units,1190 - 2090 sq.ft.,
PRM/KA/RERA/1251/446/PR/020822/005125,KEYA HOMES,10 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""15' 7'' X 12' 10''""}; {'room': 'Bedroom 2', 'size': ""12' 10'' X 14' 10''""}; {'room': 'Bedroom 3', 'size': ""12' 10'' X 10' 8''""}; {'room': 'Bedroom 4', 'size': ""13' 3'' X 10' 8''""}; {'room': 'Attached Bathroom with Bedroom 1', 'size': ""5' 2'' X 8' 2''""}; {'room': 'Attached Bathroom with Bedroom 2', 'size': ""5' 2'' X 8' 2''""}; {'room': 'Attached Bathroom with Bedroom 4', 'size': ""5' 2'' X 8' 2''""}; {'room': 'Dressing Room', 'size': ""4' 10'' X 8' 2''""}; {'room': 'Common Bathroom', 'size': ""5' 10'' X 5' 2''""}; {'room': 'Living Room / Hall', 'size': ""13' 4'' X 11' 8''""}; {'room': 'Dining Area', 'size': ""15' 7'' X 17' 2''""}; {'room': 'Entrance Foyer', 'size': ""5' 7'' X 5' 0''""}; {'room': 'Entrance Foyer', 'size': ""12' 2'' X 4' 0''""}; {'room': 'Passage 1', 'size': ""5' 3'' X 5' 8''""}; {'room': 'Passage 2', 'size': ""2' 0'' X 10' 0''""}; {'room': 'Kitchen', 'size': ""8' 0'' X 11' 7''""}; {'room': 'Kitchen & Utility', 'size': ""8' 0'' X 4' 2''""}; {'room': 'Attached Balcony with Living Room', 'size': ""7' 0'' X 11' 8''""}",,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles","Jun, 2022",Waiting Lounge; Cricket Pitch; Tennis Court; Sauna Bath; Reflexology Park; Swimming Pool; Skating Rink; Fire Sprinklers; Mini Theatre; Gymnasium; Flower Garden; Waiting Lounge; Cricket Pitch; Tennis Court; Sauna Bath; Reflexology Park; Amphitheater; Cricket Pitch; Tennis Court; Skating Rink; Swimming Pool; Partial Power Backup; Salon; Steam Room; Sauna Bath; Bar/Chill-out Lounge; Internet / Wi-Fi; Tennis Court; Swimming Pool; Skating Rink; Fountains,4.67 Acres,4 BHK Apartment,,,,,Ready to Move,"Mar 26, 2025",,Whitefield,,,,,3 Buildings - 468 units,2371 - 2428 sq.ft.,
PRM/KA/RERA/1250/304/PR/210324/006726,PROVIDENT HOUSING LIMITED,8.47 K - 9.02 K/sq.ft,,,,,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Tiles, Toilets : Anti Skid Ceramic Tiles, Balcony : Anti skid ceramic tiles","Apr, 2024","Amphitheater; Cricket Pitch; Tennis Court; Changing Room; Swimming Pool; Skating Rink; Vastu Compliant; Table Tennis; Gymnasium; Kid's Pool; Car Parking; Amphitheater; Cricket Pitch; Tennis Court; Changing Room; Swimming Pool; Swimming Pool; Solid Waste Management And Disposal; Lift(s); Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Amphitheater; Cricket Pitch; Tennis Court; Skating Rink; Swimming Pool; Cricket Pitch; Changing Room; Reflexology Park; Swimming Pool; Skating Rink",17 Acres,,,"Sep, 2028",,,,"Mar 30, 2025",,Whitefield,,"2, 3 BHK Apartments",,,7 Buildings - 1265 units,986 - 1494 sq.ft.,
