Rera Id,Developer,Avg. Price,Nearby Places,Size,Floor Details,Balcony,Project Name,Project Specifications,Launch Date,Amenities,Project Area,Configuration,Water Supply,Possession Starts,Brokerage,Parking,Possession Status,Last Updated,Price,Area,Bathrooms,Configurations,Bedrooms,Added,Project Size,Sizes,Power Backup
PRM/KA/RERA/1251/446/PR/300124/006601,ASSETZ PROPERTY GROUP,14.06 K - 15.09 K/sq.ft,,,,,,"Floor & Counter: Living/Dining : Anti Skid Ceramic Tiles, Master Bedroom : Laminated Wooden Flooring, Other Bedroom : Laminated Wooden Flooring, Kitchen : Vitrified Tiles, Toilets : Anti Skid Tiles, Balcony : Ceramic Tiles","Jan, 2024",Children's Play Area; Waiting Lounge; Entrance Lobby; Yoga / Meditation Area; Tennis Court; Card Room; Swimming Pool; Table Tennis; Gymnasium; Kid's Pool; Multipurpose Hall; Children's Play Area; Waiting Lounge; Entrance Lobby; Yoga / Meditation Area; Tennis Court; Children's Play Area; Amphitheater; Yoga / Meditation Area; Cricket Pitch; Tennis Court; Amphitheater; Cricket Pitch; Skating Rink; Table Tennis; Kid's Pool; Internet / Wi-Fi; Tennis Court; Gazebo; Swimming Pool; Vastu Compliant,2 Acres (75% open),,,"Jun, 2028",,,,"Apr 26, 2025",,Whitefield,,"3, 4 BHK Apartments",,,1 Building - 96 units,2154 - 3044 sq.ft.,
PRM/KA/RERA/1251/446/PR/131224/007297,SBR GROUP,14 K/sq.ft,,,,,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : - Wooden flooring in master bedroom, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Flooring","Dec, 2024",Waiting Lounge; Amphitheater; Cricket Pitch; Volleyball Court; Tennis Court; Sauna Bath; Spa; Skating Rink; Swimming Pool; Open Gym; Table Tennis; Waiting Lounge; Amphitheater; Cricket Pitch; Volleyball Court; Tennis Court; Amphitheater; Reading Lounge; Volleyball Court; Tennis Court; Changing Room; Tennis Court; Gazebo; Swimming Pool; Fountains; Vastu Compliant; Amphitheater; Reading Lounge; Volleyball Court; Tennis Court; Grocery Shop,12 Acres (72% open),,,"Dec, 2030",,,,"Apr 30, 2025",,Whitefield,,"2.5, 3 BHK Apartments",,,12 Buildings - 930 units,1191 - 1752 sq.ft.,
PRM/KA/RERA/1251/446/PR/020822/005125,KEYA HOMES,10 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""15' 7'' X 12' 10''""}; {'room': 'Bedroom 2', 'size': ""12' 10'' X 14' 10''""}; {'room': 'Bedroom 3', 'size': ""12' 10'' X 10' 8''""}; {'room': 'Bedroom 4', 'size': ""13' 3'' X 10' 8''""}; {'room': 'Attached Bathroom with Bedroom 1', 'size': ""5' 2'' X 8' 2''""}; {'room': 'Attached Bathroom with Bedroom 2', 'size': ""5' 2'' X 8' 2''""}; {'room': 'Attached Bathroom with Bedroom 4', 'size': ""5' 2'' X 8' 2''""}; {'room': 'Dressing Room', 'size': ""4' 10'' X 8' 2''""}; {'room': 'Common Bathroom', 'size': ""5' 10'' X 5' 2''""}; {'room': 'Living Room / Hall', 'size': ""13' 4'' X 11' 8''""}; {'room': 'Dining Area', 'size': ""15' 7'' X 17' 2''""}; {'room': 'Entrance Foyer', 'size': ""5' 7'' X 5' 0''""}; {'room': 'Entrance Foyer', 'size': ""12' 2'' X 4' 0''""}; {'room': 'Passage 1', 'size': ""5' 3'' X 5' 8''""}; {'room': 'Passage 2', 'size': ""2' 0'' X 10' 0''""}; {'room': 'Kitchen', 'size': ""8' 0'' X 11' 7''""}; {'room': 'Kitchen & Utility', 'size': ""8' 0'' X 4' 2''""}; {'room': 'Attached Balcony with Living Room', 'size': ""7' 0'' X 11' 8''""}",,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles","Jun, 2022",Waiting Lounge; Cricket Pitch; Tennis Court; Sauna Bath; Reflexology Park; Swimming Pool; Skating Rink; Fire Sprinklers; Mini Theatre; Gymnasium; Flower Garden; Waiting Lounge; Cricket Pitch; Tennis Court; Sauna Bath; Reflexology Park; Amphitheater; Cricket Pitch; Tennis Court; Skating Rink; Swimming Pool; Partial Power Backup; Salon; Steam Room; Sauna Bath; Bar/Chill-out Lounge; Internet / Wi-Fi; Tennis Court; Swimming Pool; Skating Rink; Fountains,4.67 Acres,4 BHK Apartment,,,,,Ready to Move,"Mar 26, 2025",,E P I P,,,,,3 Buildings - 468 units,2371 - 2428 sq.ft.,
"PRM/KA/RERA/1251/446/PR/200224/006641, PRM/KA/RERA/1251/446/PR/120922/005235",PAVANI GROUP,9.5 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""12' 0'' X 10' 0''""}; {'room': 'Attached Bathroom with Bedroom 1', 'size': ""4' 6'' X 8' 10''""}; {'room': 'Bedroom 2', 'size': ""10' 0'' X 12' 0''""}; {'room': 'Living Room / Hall', 'size': ""10' 2'' X 14' 4''""}; {'room': 'Common Bathroom', 'size': ""4' 6'' X 7' 0''""}; {'room': 'Kitchen', 'size': ""7' 4'' X 7' 0''""}; {'room': 'Kitchen & Utility', 'size': ""7' 10'' X 4' 11''""}; {'room': 'Dining Room Balcony', 'size': ""5' 0'' X 9' 0''""}; {'room': 'Dining Area', 'size': ""13' 3'' X 9' 0''""}; {'room': 'Passage', 'size': '-'}",,,,"Jan, 2024","Amphitheater; Cricket Pitch; Tennis Court; Skating Rink; Swimming Pool; Fountains; Fire Sprinklers; Gymnasium; Fire Fighting System; 24X7 Water Supply; Car Parking; Amphitheater; Cricket Pitch; Tennis Court; Skating Rink; Swimming Pool; Partial Power Backup; Salon; Steam Room; Sauna Bath; Bar/Chill-out Lounge; Children's Play Area; Swimming Pool; Party Hall; Lift(s); Landscaping & Tree Planting; Swimming Pool; Solid Waste Management And Disposal; Lift(s); Landscaping & Tree Planting; Water Conservation, Rain water Harvesting",13.5 Acres (79% open),,,"Dec, 2026",,,,"Apr 8, 2025",,E P I P,,"2, 3, 4 BHK Apartments",,,,1050 - 2400 sq.ft.,
Rera Not Applicable,SS BUILDERS BANGALORE,7.2 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""12' 0'' X 13' 0''""}; {'room': 'Bedroom 2', 'size': '-'}; {'room': 'Common Bathroom 1', 'size': ""4' 6'' X 8' 0''""}; {'room': 'Living Room / Hall', 'size': ""12' 0'' X 14' 6''""}; {'room': 'Kitchen & Utility', 'size': ""17' 6'' X 4' 9''""}; {'room': 'Kitchen', 'size': ""8' 6'' X 9' 0''""}; {'room': 'Attached Bathroom with Bedroom 1', 'size': ""4' 6'' X 9' 0''""}; {'room': 'Dining Area', 'size': ""13' 4'' X 8' 2''""}",,,,"Feb, 2024","Cricket Pitch; Swimming Pool; Vastu Compliant; Open Gym; Landscaping & Tree Planting; Electrification(Transformer, Solar Energy etc); Closed Car Parking; Jogging Track; Senior Citizen Siteout; Street Lighting; Gated Community; Cricket Pitch; Swimming Pool; Vastu Compliant; Open Gym; Landscaping & Tree Planting; Gazebo; Swimming Pool; Landscaping & Tree Planting; Gymnasium; Closed Car Parking; Children's Play Area; Service Lift; Amphitheater; Yoga / Meditation Area; Cricket Pitch; Children's Play Area; Jogging Track; Multipurpose Hall; Swimming Pool; Lift(s)",,,,,,,Ready to Move,"Mar 29, 2025",,E P I P,,"2, 3 BHK Apartments",,,6 Buildings - 252 units,1153 - 1881 sq.ft.,
PRM/KA/RERA/1251/446/PR/300124/006599,SREE ADITHYA DEVELOPERS,6.95 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""13' 0'' X 11' 0''""}; {'room': 'Attached Bathroom with Bedroom 1', 'size': ""5' 0'' X 8' 0''""}; {'room': 'Bedroom 2', 'size': ""11' 0'' X 10' 0''""}; {'room': 'Common Bathroom', 'size': ""4' 6'' X 6' 6''""}; {'room': 'Kitchen', 'size': ""8' 0'' X 11' 6''""}; {'room': 'Living Room / Hall', 'size': ""11' 0'' X 15' 0''""}; {'room': 'Passage 1', 'size': '-'}; {'room': 'Passage 2', 'size': '-'}; {'room': 'Kitchen & Utility', 'size': ""8' 0'' X 4' 0''""}; {'room': 'Dining Area', 'size': ""14' 10'' X 9' 0''""}; {'room': 'Dining Room Balcony', 'size': ""5' 0'' X 9' 0''""}",,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Tiles, Toilets : Anti Skid Ceramic Tiles","Jan, 2024",Children's Play Area; Security Cabin; Yoga / Meditation Area; Cricket Pitch; Tennis Court; Skating Rink; Swimming Pool; Lift(s); Landscaping & Tree Planting; Badminton Court; Fire Fighting System; Children's Play Area; Security Cabin; Yoga / Meditation Area; Cricket Pitch; Tennis Court; Cricket Pitch; Swimming Pool; Vastu Compliant; Open Gym; Landscaping & Tree Planting; Children's Play Area; Jogging Track; Multipurpose Hall; Swimming Pool; Lift(s); Multipurpose Room; Basketball Court; Swimming Pool; Vastu Compliant; Indoor Games,1.99 Acres,,,,,,Ready to Move,"Apr 10, 2025",,E P I P,,"2, 3 BHK Apartments",,,2 Buildings - 141 units,1173 - 1620 sq.ft.,
Rera Not Applicable,SIZZLE PROPERTIES,9.6 K/sq.ft,,,,,,,"Oct, 2023",Children's Play Area; Landscaping & Tree Planting; 24x7 CCTV Surveillance; Gymnasium; 24X7 Water Supply; Jogging Track; Street Lighting; Gated Community; Internal Roads & Footpaths; Rain Water Harvesting; 24x7 Security; Children's Play Area; Landscaping & Tree Planting; 24x7 CCTV Surveillance; Gymnasium; 24X7 Water Supply; Children's Play Area; Gazebo; Skating Rink; Open Gym; Fire Sprinklers,3.5 Acres,Residential Plots,,,,,Ready to Move,"Apr 26, 2025",,E P I P,,,,,79 units,1200 - 1500 sq.ft.,
,ZED CONSTRUCTIONS,Price on request,,1000 sq.ft.,,,,,"Jan, 1997","Children's Play Area; Landscaping & Tree Planting; Power Backup; Children's Play Area; Landscaping & Tree Planting; Power Backup; Car Parking; 24X7 Water Supply; 24x7 Security; 24x7 CCTV Surveillance; Fire Fighting System; Cricket Pitch; Swimming Pool; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Table Tennis; Children's Play Area; Amphitheater; Security Cabin; Yoga / Meditation Area; Tennis Court",,2 BHK Apartment,,,,,Ready to Move,"Dec 27, 2019",,Rameshnagar,,,,,35 units,,
PRM/KA/RERA/1251/446/PR/170524/006883,CENTURY REAL ESTATE HOLDINGS,38.9 K/sq.ft,,,,,,"Floor & Counter: Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles, Toilets : Anti Skid Tiles, Balcony : Anti Skid Tiles","May, 2024","Children's Play Area; Tennis Court; Swimming Pool; Solid Waste Management And Disposal; Lift(s); Water Conservation, Rain water Harvesting; 24x7 CCTV Surveillance; Gymnasium; Video Door Security; Sun Deck; 24X7 Water Supply; Children's Play Area; Tennis Court; Swimming Pool; Solid Waste Management And Disposal; Lift(s)",3.57 Acres,,,"Apr, 2029",,,,"Apr 9, 2025",,Rameshnagar,,"3, 4 BHK Apartments",,,1 Building - 300 units,1414 - 3331 sq.ft.,
PRM/KA/RERA/1251/446/PR/301024/007192,SSVR BUILDERS,9.28 K/sq.ft,,,,,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Tiles, Toilets : Anti Skid Ceramic Tiles","Aug, 2024","Amphitheater; Skating Rink; Swimming Pool; Fire Sprinklers; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Fire Fighting System; Electrification(Transformer, Solar Energy etc); Car Parking; Squash Court; 24X7 Water Supply; Amphitheater; Skating Rink; Swimming Pool; Fire Sprinklers; Landscaping & Tree Planting; Amphitheater; Cricket Pitch; Solar Lighting; Skating Rink; Swimming Pool; Cricket Pitch; Swimming Pool; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Table Tennis; Amphitheater; Volleyball Court; Swimming Pool; Skating Rink; Vastu Compliant",1.21 Acres,3 BHK Apartment,,"Dec, 2028",,,,"Apr 28, 2025",,Rameshnagar,,,,,1 Building - 119 units,1430 - 1690 sq.ft.,
PRM/KA/RERA/1251/446/PR/300323/005832,ECOLIFE DEVELOPERS,8.99 K - 10.22 K/sq.ft,,,"{'room': 'Bedroom 1', 'size': ""11' 0'' X 13' 0''""}; {'room': 'Bedroom 2', 'size': ""11' 0'' X 10' 4''""}; {'room': 'Kitchen', 'size': ""9' 4'' X 8' 8''""}; {'room': 'Dining Area', 'size': ""10' 0'' X 18' 4''""}; {'room': 'Living Room / Hall', 'size': ""11' 0'' X 16' 10''""}; {'room': 'Attached Bathroom with Bedroom 1', 'size': ""8' 0'' X 5' 0''""}; {'room': 'Common Bathroom', 'size': ""5' 0'' X 7' 6''""}; {'room': 'Kitchen & Utility', 'size': ""9' 0'' X 4' 0''""}; {'room': 'Attached Balcony with Bedroom 2', 'size': ""11' 0'' X 4' 0''""}; {'room': 'Passage', 'size': '-'}",,,"Floor & Counter: Living/Dining : Vitrified Tiles, Master Bedroom : Vitrified Tiles, Other Bedroom : Vitrified Tiles, Kitchen : Vitrified Tiles, Toilets : Vitrified Tiles, Balcony : Vitrified Tiles","Mar, 2023","Amphitheater; Cricket Pitch; Solar Lighting; Skating Rink; Swimming Pool; Gymnasium; Golf Course; School; Car Parking; 24X7 Water Supply; Jogging Track; Amphitheater; Cricket Pitch; Solar Lighting; Skating Rink; Swimming Pool; Cricket Pitch; Swimming Pool; Landscaping & Tree Planting; Water Conservation, Rain water Harvesting; Table Tennis; Amphitheater; Volleyball Court; Cricket Pitch; Changing Room; Spa; Amphitheater; Sub-Station; Skating Rink; Swimming Pool; Fire Sprinklers",4.12 Acres (75% open),,,"Jul, 2026",,,,"Apr 26, 2025",,Rameshnagar,,"2, 3 BHK Apartments",,,2 Buildings - 350 units,1245 - 1878 sq.ft.,
Rera Not Applicable,LODHA GROUP,22.14 K/sq.ft,,,,,,,"Feb, 2025",Swimming Pool; Fire Sprinklers; Lift(s); Landscaping & Tree Planting; Water Storage; 24x7 CCTV Surveillance; Gymnasium; Reserved Parking; Temple; Rain Water Harvesting; 24x7 Security; Swimming Pool; Fire Sprinklers; Lift(s); Landscaping & Tree Planting; Water Storage; Security Cabin; Reflexology Park; Solid Waste Management And Disposal; Visitor Parking; Fire Sprinklers,10 Acres,,,"Mar, 2029",,,,"Apr 10, 2025",,Rameshnagar,,"3, 3.5, 4 BHK Apartments",,,500 units,1050 - 2250 sq.ft.,
